Profile,Followers,Collected Date,Posted Date,Likes,Type,Section one,Section two,Section three,Section four,Section five,Section six,Section seven,Section eight,Section nine
stevemccurryofficial,3000000,10/22/20,10/1/20,55338,Portrait,BL,BR,BL,GR,BR,BL,BL,BL,BL
stevemccurryofficial,3000000,10/22/20,9/29/20,52636,Portrait,G,BR,G,BL,BR,BL,BL,GR,GR
stevemccurryofficial,3000000,10/22/20,9/27/20,77925,Portrait,BL,BR,GR,BR,GR,GR,GR,GR,GR
stevemccurryofficial,3000000,10/22/20,9/25/20,58350,Portrait,BL,GR,GR,BL,Y,GR,BL,BR,GR
stevemccurryofficial,3000000,10/22/20,9/23/20,110477,Portrait,B,B,B,BR,BR,BR,V,Y,BR
stevemccurryofficial,3000000,10/22/20,9/19/20,59185,Portrait,W,BL,W,W,GR,W,BL,W,BL
stevemccurryofficial,3000000,10/22/20,9/14/20,71974,Portrait,BR,BL,BR,BR,BR,BR,BR,GR,BR
stevemccurryofficial,3000000,10/22/20,9/12/20,66185,Portrait,G,R,BL,G,GR,G,GR,GR,GR
stevemccurryofficial,3000000,10/22/20,9/11/20,63315,Landscape,BL,B,BL,BL,B,BL,BL,G,G
stevemccurryofficial,3000000,10/22/20,9/9/20,54207,Landscape,BL,O,O,BL,O,O,BL,O,O
stevemccurryofficial,3000000,10/22/20,9/8/20,42305,Portrait,B,BL,GR,GR,GR,BL,R,BR,BR
stevemccurryofficial,3000000,10/22/20,9/7/20,51482,Portrait,O,BL,BL,Y,Y,BL,BL,Y,BL
stevemccurryofficial,3000000,10/22/20,9/6/20,79174,Portrait,B,B,B,GR,BL,GR,GR,GR,GR
stevemccurryofficial,3000000,10/22/20,9/4/20,66754,Portrait,BR,BR,BR,GR,GR,GR,GR,GR,GR
stevemccurryofficial,3000000,10/22/20,9/2/20,47228,Portrait,BL,R,R,BR,B,GR,BL,GR,GR
stevemccurryofficial,3000000,10/22/20,8/31/20,71905,Portrait,B,B,B,GR,BR,GR,BR,V,BR
stevemccurryofficial,3000000,10/22/20,8/29/20,52487,Portrait,BL,GR,GR,B,BL,BL,B,B,B
stevemccurryofficial,3000000,10/22/20,8/28/20,45468,Portrait,BL,BL,BL,BL,BR,BR,GR,B,BR
stevemccurryofficial,3000000,10/22/20,8/27/20,71430,Portrait,GR,GR,GR,GR,BR,GR,GR,GR,GR
stevemccurryofficial,3000000,10/22/20,8/26/20,41789,Animal,V,Y,GR,GR,B,GR,GR,GR,GR
stevemccurryofficial,3000000,10/22/20,8/23/20,62743,Portrait,GR,GR,O,GR,BR,O,R,R,R
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
